n_cascade_estimators,n_trees_pdf,max_depth_pdf,mean_accuracy,std_accuracy
4,10,4,0.9596491228070174,0.007017543859649145
4,10,6,0.956140350877193,0.007845852552630867
4,10,8,0.9596491228070174,0.007017543859649145
4,20,4,0.9543859649122807,0.006564311204866584
4,20,6,0.956140350877193,0.005547855544155069
4,20,8,0.9596491228070174,0.007017543859649145
4,30,4,0.9614035087719298,0.007017543859649145
4,30,6,0.9631578947368421,0.0035087719298245723
4,30,8,0.9614035087719298,0.004297350425935413
6,10,4,0.9508771929824562,0.0070175438596491065
6,10,6,0.9578947368421054,0.006564311204866584
6,10,8,0.9578947368421054,0.0035087719298245727
6,20,4,0.9596491228070174,0.004297350425935414
6,20,6,0.9631578947368421,0.006564311204866584
6,20,8,0.9614035087719298,0.007017543859649145
6,30,4,0.9596491228070176,0.004297350425935414
6,30,6,0.9614035087719298,0.008945648269461055
6,30,8,0.9649122807017545,0.00960916767552926
