n_cascade_estimators,n_trees_pdrf,max_depth_pdrf,mean_accuracy,std_accuracy
4,10,4,0.9666666666666666,1.1102230246251565e-16
4,10,6,0.9466666666666667,0.01632993161855452
4,10,8,0.9333333333333333,0.02108185106778919
4,20,4,0.9466666666666667,0.02666666666666666
4,20,6,0.9333333333333333,0.029814239699997188
4,20,8,0.9266666666666667,0.02494438257849294
4,30,4,0.9533333333333334,0.01632993161855452
4,30,6,0.9400000000000001,0.02494438257849294
4,30,8,0.9266666666666667,0.024944382578492935
6,10,4,0.9533333333333334,0.02666666666666666
6,10,6,0.9400000000000001,0.01333333333333333
6,10,8,0.9333333333333333,0.02108185106778919
6,20,4,0.9333333333333333,0.029814239699997188
6,20,6,0.9333333333333333,0.02108185106778919
6,20,8,0.9466666666666667,0.026666666666666658
6,30,4,0.9666666666666666,1.1102230246251565e-16
6,30,6,0.9533333333333334,0.01632993161855452
6,30,8,0.9400000000000001,0.013333333333333332
