n_cascade_estimators,n_trees_pdrf,max_depth_pdrf,mean_accuracy,std_accuracy
4,10,4,0.566875,0.006434768838116883
4,10,6,0.568125,0.019704853463043046
4,10,8,0.5650000000000001,0.016700486519859233
4,20,4,0.5725,0.011759304826391741
4,20,6,0.569375,0.007499999999999968
4,20,8,0.55125,0.014999999999999996
4,30,4,0.573125,0.012119199643540845
4,30,6,0.5762499999999999,0.008970437559004563
4,30,8,0.569375,0.008477912478906582
6,10,4,0.578125,0.012960275845829837
6,10,6,0.5737500000000001,0.016250000000000014
6,10,8,0.559375,0.012183492931011201
6,20,4,0.5775,0.01826454899525309
6,20,6,0.566875,0.005796011559684816
6,20,8,0.57,0.004238956239453287
6,30,4,0.5743750000000001,0.014973935688388696
6,30,6,0.58375,0.01444277501036418
6,30,8,0.57125,0.011249999999999975
