n_cascade_estimators,n_trees_pdrf,max_depth_pdrf,mean_accuracy,std_accuracy
4,10,4,0.9066666666666668,0.013333333333333329
4,10,6,0.86,0.03265986323710903
4,10,8,0.8866666666666667,0.04988876515698587
4,20,4,0.8600000000000001,0.02494438257849294
4,20,6,0.8733333333333334,0.02494438257849294
4,20,8,0.8666666666666668,0.036514837167011066
4,30,4,0.8533333333333333,0.02666666666666666
4,30,6,0.8533333333333335,0.016329931618554516
4,30,8,0.8666666666666668,0.04216370213557838
6,10,4,0.8533333333333333,0.02666666666666666
6,10,6,0.86,0.05333333333333332
6,10,8,0.9066666666666666,0.024944382578492935
6,20,4,0.9000000000000001,0.029814239699997188
6,20,6,0.8533333333333333,0.03399346342395189
6,20,8,0.8466666666666667,0.02666666666666666
6,30,4,0.8600000000000001,0.02494438257849294
6,30,6,0.8466666666666669,0.03399346342395189
6,30,8,0.8533333333333333,0.02666666666666666
