n_cascade_estimators,n_trees_pdf,max_depth_pdf,mean_accuracy,std_accuracy
4,10,4,0.7761332099907492,0.01587242226792025
4,10,6,0.7698427382053654,0.01267581360441121
4,10,8,0.76577243293247,0.005562736865262889
4,20,4,0.7837187789084181,0.002060227331296964
4,20,6,0.7700277520814061,0.009747966603011663
4,20,8,0.7583718778908418,0.003381251967159487
4,30,4,0.7835337650323775,0.0025502402871582365
4,30,6,0.7666975023126734,0.008822659772482045
4,30,8,0.7591119333950045,0.00459192364328988
6,10,4,0.7835337650323775,0.0030400882007687096
6,10,6,0.771322849213691,0.010967437805941846
6,10,8,0.7598519888991675,0.00861060224105093
6,20,4,0.7659574468085106,0.024551836296071987
6,20,6,0.7631822386679001,0.008437930990557896
6,20,8,0.7668825161887142,0.007377392058233782
6,30,4,0.7824236817761332,0.0022201665124884475
6,30,6,0.7709528214616096,0.008768174365271268
6,30,8,0.7609620721554117,0.001110083256244243
