n_cascade_estimators,n_trees_pdrf,max_depth_pdrf,mean_accuracy,std_accuracy
4,10,4,0.55875,0.009142961773954891
4,10,6,0.569375,0.01622594373218394
4,10,8,0.5475,0.013317047345414064
4,20,4,0.56125,0.008523863560616156
4,20,6,0.5518750000000001,0.018392423711952686
4,20,8,0.56125,0.007806247497998005
4,30,4,0.5587500000000001,0.015360257159305663
4,30,6,0.5756249999999999,0.004145780987944272
4,30,8,0.563125,0.007234898064243886
6,10,4,0.56375,0.002499999999999991
6,10,6,0.569375,0.01015504800579495
6,10,8,0.561875,0.015860721925561892
6,20,4,0.568125,0.0023385358667336992
6,20,6,0.5625,0.006846531968814552
6,20,8,0.56125,0.005077524002897479
6,30,4,0.5506249999999999,0.022220486043288933
6,30,6,0.563125,0.014442775010364181
6,30,8,0.5643750000000001,0.008750000000000018
