n_cascade_estimators,n_trees_pdrf,max_depth_pdrf,mean_accuracy,std_accuracy
4,10,4,0.8982456140350876,0.00894564826946102
4,10,6,0.9052631578947368,0.006564311204866537
4,10,8,0.9105263157894739,0.006564311204866537
4,20,4,0.9052631578947368,0.010229740166395248
4,20,6,0.9070175438596492,0.004297350425935359
4,20,8,0.9070175438596492,0.007017543859649095
4,30,4,0.9035087719298247,1.1102230246251565e-16
4,30,6,0.9087719298245615,0.004297350425935359
4,30,8,0.9122807017543859,0.0055478555441550335
6,10,4,0.9052631578947368,0.01163727996615929
6,10,6,0.8982456140350876,0.007017543859649145
6,10,8,0.9087719298245615,0.004297350425935359
6,20,4,0.8982456140350876,0.008945648269461018
6,20,6,0.9087719298245613,0.0070175438596491
6,20,8,0.9087719298245613,0.004297350425935359
6,30,4,0.9017543859649123,0.006564311204866549
6,30,6,0.9035087719298245,0.007845852552630816
6,30,8,0.9052631578947368,0.006564311204866537
